id	year	month	day	hour	minute	sex	age	handedness	message_viewing_time	block	trial_num	trial_initiation_time	fixation_duration	cue_location	cue_modality	target_location	target_modality	target_type	target_response_key	target_response_rt	pre_target_response	feedback_response	recalibration	blink	saccade	biggest_small_saccade	critical_blink	critical_saccade	target_started_TF
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	1	8.14245886201	1.18769203706	left	tactile	right	visual	target	voice	263.04041862	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	2	3.13466964199	1.29613612872	right	visual	left	tactile	target	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	3	2.28896776401	1.2739365264	left	visual	right	tactile	target	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	4	1.56181116201	0.829487353417	right	tactile	right	tactile	catch	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	5	5.50801135	0.825540004877	right	tactile	left	visual	target	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	6	1.097139399	1.05025056322	right	visual	left	tactile	target	voice	NA	TRUE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	7	1.65744735699	1.40547713075	right	tactile	left	tactile	target	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	8	1.032089766	0.779718538801	right	tactile	left	visual	target	voice	511.792189878	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	9	1.17351570402	1.48867800824	right	visual	left	visual	target	voice	649.102653435	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	10	1.381669569	1.20306017457	left	visual	left	tactile	target	voice	575.390428101	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	11	0.764260705997	1.11302622827	right	visual	right	tactile	target	voice	495.299534407	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	12	1.10465818102	0.956262493959	left	tactile	left	visual	target	voice	502.686115709	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	13	0.924804432987	0.803201738913	right	tactile	left	tactile	target	voice	30.5850917648	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	14	1.86517242598	0.767029538941	left	tactile	left	visual	target	voice	619.861499697	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	15	0.574119074998	1.35630335471	right	tactile	right	tactile	target	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	16	1.79452518601	1.04428370729	left	tactile	left	visual	target	voice	483.695994393	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	17	0.752819661982	0.712999702736	left	visual	right	visual	target	voice	506.519363931	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	18	2.659209031	1.09271457257	right	visual	right	tactile	catch	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	19	1.52461297699	1.23129827079	right	visual	right	tactile	target	voice	650.227978884	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	20	0.577591829991	1.29295929531	right	tactile	right	visual	target	voice	494.659605349	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	21	0.588631826016	0.865004135526	left	visual	right	visual	target	voice	535.408636119	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	22	0.681885839993	1.00477298139	right	visual	left	visual	target	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	TRUE
e12	2015	07	30	17	43	f	21	r	19.325679706	practice	23	1.05423692701	0.680482278308	right	visual	right	visual	target	voice	599.681258347	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
